id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0
DG99-3119,Delsey Bolso de viaje plegable — 61.100 puntos,Delsey Bolso de viaje plegable,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Delsey/DG99-3119/DG99-3119,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34274819&catalogid=132097&languageid=es_ar&imagetype=master1,Delsey,Bazar,61.100 puntos
DG99-3126,Delsey Valija de cabina — 64.900 puntos,Delsey Valija de cabina,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Delsey/DG99-3126/DG99-3126,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34276611&catalogid=132097&languageid=es_ar&imagetype=master1,Delsey,Bazar,64.900 puntos
DG99-3156,Apple AirTag x4 unidades — 75.600 puntos,Apple AirTag x4 unidades,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Apple/DG99-3156/DG99-3156,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34295043&catalogid=132097&languageid=es_ar&imagetype=master1,Apple,Bazar,75.600 puntos
DG99-3112, — 83.900 puntos,,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Philips/DG99-3112/DG99-3112,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34273027&catalogid=132097&languageid=es_ar&imagetype=master1,,Bazar,83.900 puntos
DG99-3106, — 75.700 puntos,,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Black-Decker/DG99-3106/DG99-3106,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34277123&catalogid=132097&languageid=es_ar&imagetype=master1,,Bazar,75.700 puntos
DG99-3130, — 216.100 puntos,,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Samsung/DG99-3130/DG99-3130,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34278147&catalogid=132097&languageid=es_ar&imagetype=master1,,Bazar,216.100 puntos
DG99-3105, — 63.300 puntos,,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Black-Decker/DG99-3105/DG99-3105,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34282755&catalogid=132097&languageid=es_ar&imagetype=master1,,Bazar,63.300 puntos
DG99-3127,Hudson Vaso Café 600ml — 14.600 puntos,Hudson Vaso Café 600ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Hudson/DG99-3127/DG99-3127,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34277379&catalogid=132097&languageid=es_ar&imagetype=master1,Hudson,Bebidas,14.600 puntos
DG99-3215,Johnnie Walker Whisky Black Label 1Lt — 14.600 puntos,Johnnie Walker Whisky Black Label 1Lt,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Johnnie-Walker/DG99-3215/DG99-3215,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34442499&catalogid=132097&languageid=es_ar&imagetype=master1,Johnnie Walker,Bebidas,14.600 puntos
DG99-3128,Hudson Vaso Quencher 900ml — 15.400 puntos,Hudson Vaso Quencher 900ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Hudson/DG99-3128/DG99-3128,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34277635&catalogid=132097&languageid=es_ar&imagetype=master1,Hudson,Bebidas,15.400 puntos
DG99-3225,Lagarde Set x6 botellas Malbec — 16.900 puntos,Lagarde Set x6 botellas Malbec,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Lagarde/DG99-3225/DG99-3225,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34605315&catalogid=132097&languageid=es_ar&imagetype=master1,Lagarde,Bebidas,16.900 puntos
DG99-3226,Johnnie Walker Whisky Double black 750ml — 17.700 puntos,Johnnie Walker Whisky Double black 750ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Johnnie-Walker/DG99-3226/DG99-3226,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34605571&catalogid=132097&languageid=es_ar&imagetype=master1,Johnnie Walker,Bebidas,17.700 puntos
DG99-3155,Volf Vaso café doble pared 220CC — 18.600 puntos,Volf Vaso café doble pared 220CC,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Volf/DG99-3155/DG99-3155,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34294787&catalogid=132097&languageid=es_ar&imagetype=master1,Volf,Bebidas,18.600 puntos
DG99-3228,Johnnie Walker Whisky Green 750ml — 19.400 puntos,Johnnie Walker Whisky Green 750ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Johnnie-Walker/DG99-3228/DG99-3228,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34606083&catalogid=132097&languageid=es_ar&imagetype=master1,Johnnie Walker,Bebidas,19.400 puntos
